Date,Price_brent-daily,Price_dubai-crude,Open_dubai-crude,High_dubai-crude,Low_dubai-crude,Price_Gold-Price,Open_Gold-Price,High_Gold-Price,Low_Gold-Price,Price_wti-daily
2015-01-01,6.259774079216159e-16,-6.546920868105333e-16,6.54691740072275e-16,6.54691740072275e-16,6.54691740072275e-16,-1.184158913803811,-1.1808766817116845,-1.1934082276352658,-1.1739589982793524,0.0
2015-01-02,-0.13385238610218878,-0.18460017610755172,-0.18460060156311242,-0.18460060156311242,-0.18460060156311242,-1.1680640535825793,-1.1844051211003863,-1.18038086295957,-1.210156717344889,-0.041932337005195816
2015-01-03,6.259774079216159e-16,-6.546920868105333e-16,6.54691740072275e-16,6.54691740072275e-16,6.54691740072275e-16,0.0,0.0,0.0,0.0,0.0
2015-01-04,6.259774079216159e-16,-6.546920868105333e-16,6.54691740072275e-16,6.54691740072275e-16,6.54691740072275e-16,0.0,0.0,0.0,0.0,0.0
2015-01-05,-0.5126758851818766,-0.5734297942704846,-0.5734300137939632,-0.5734300137939632,-0.5734300137939632,-1.1473101548762539,-1.1540605423575503,-1.1564273214590972,-1.1581403100263028,-0.3025686810754026
2015-01-06,-0.5972504338136208,-0.693211430197454,-0.6932115862821395,-0.6932115862821395,-0.6932115862821395,-1.0713537092707912,-1.1124249575708682,-1.0820452715365765,-1.094865557014105,-0.5046350601860122
2015-01-07,-0.6906348312611712,-0.6886044442002631,-0.6886046027249022,-0.6886046027249022,-0.6886046027249022,-1.1032610637444613,-1.0795399024681667,-1.094932557022211,-1.0925853857343861,-0.4353272683171557
2015-01-08,-0.6580383906426867,-0.708875182587904,-0.7088753303767474,-0.7088753303767474,-0.7088753303767474,-1.152816291267728,-1.104662390915724,-1.1229483950344599,-1.1410390254284115,-0.4245894414078963
2015-01-09,-0.8157346844456262,-0.7365170985710506,-0.7365172317201725,-0.7365172317201725,-0.7365172317201725,-1.1530986572365214,-1.160976283559406,-1.1611900139211795,-1.15386498887683,-0.4685169151275936
2015-01-10,6.259774079216159e-16,-6.546920868105333e-16,6.54691740072275e-16,6.54691740072275e-16,6.54691740072275e-16,0.0,0.0,0.0,0.0,0.0
2015-01-11,6.259774079216159e-16,-6.546920868105333e-16,6.54691740072275e-16,6.54691740072275e-16,6.54691740072275e-16,0.0,0.0,0.0,0.0,0.0
2015-01-12,-0.8809275656825959,-0.8986830056721786,-0.8986830529349344,-0.8986830529349344,-0.8986830529349344,-1.1211913027628513,-1.1448865999469253,-1.1272908499263583,-1.1312057867846241,-0.692058948056722
2015-01-13,-1.0368618897223738,-0.9530454404390344,-0.953045458910338,-0.953045458910338,-0.953045458910338,-1.1156851663713772,-1.1091787933332624,-1.1078198425078454,-1.1054113491828046,-0.7057252732139614
2015-01-14,-0.9760739328933079,-0.8480061597030764,-0.8480062338053216,-0.8480062338053216,-0.8480062338053216,-1.096060731540226,-1.1239982387658103,-1.104738100326498,-1.1202324625009772,-0.45485058997035427
2015-01-15,-0.8139727146824652,-0.9327747020513935,-0.9327747312584929,-0.9327747312584929,-0.9327747312584929,-1.05610594695594,-1.104662390915724,-1.067477035770207,-1.1465969429227263,-0.661797799494264
2015-01-16,-0.8386402913667235,-0.8830192532817293,-0.8830193088403273,-0.8830193088403273,-0.8830193088403273,-1.0306930097645213,-1.0496187364519747,-1.0321770798747736,-1.0536799632741833,-0.45485058997035427
2015-01-17,6.259774079216159e-16,-6.546920868105333e-16,6.54691740072275e-16,6.54691740072275e-16,6.54691740072275e-16,-1.0371874270467727,-1.0373397673792923,-1.0561306213752464,-1.0189073512584712,0.0
2015-01-18,6.259774079216159e-16,-6.546920868105333e-16,6.54691740072275e-16,6.54691740072275e-16,6.54691740072275e-16,0.0,0.0,0.0,0.0,0.0
2015-01-19,6.259774079216159e-16,-6.546920868105333e-16,6.54691740072275e-16,6.54691740072275e-16,6.54691740072275e-16,-1.0243397754666665,-1.035222703746071,-1.0341381885356309,-1.0180522870285766,0.0
2015-01-20,-0.9170479458274029,-0.9594952208351021,-0.9594952358904707,-0.9594952358904707,-0.9594952358904707,-0.9706902413958937,-1.0270367243642828,-0.9835696009235217,-1.0085040697947538,-0.6207988240225459
