X_train_High,X_train_Low,X_train_Open,X_test_High,X_test_Low,X_test_Open,y_train,y_test
-0.44019529876526675,-0.4532678672098114,-0.44697206717930615,-0.715937716437096,-0.7500481585596359,-0.7596573484313204,-0.44661187893258386,8098.314697265625
-0.44038026589332313,-0.45324940669039765,-0.4436539124565056,-0.705690808780244,-0.7350210089122159,-0.7222477377162447,-0.4467006532218487,8310.84521484375
-0.4427138409212908,-0.46297012358421,-0.445390075499397,-0.6835210506492915,-0.7100157586579436,-0.6957981759139859,-0.45253201984749536,8709.009765625
-0.4474506052803982,-0.4686696836109317,-0.45324447805914075,-0.7126395674352959,-0.7321969811591149,-0.701932023133454,-0.4577269703048699,8273.614990234375
-0.45324211977712686,-0.4735362810035964,-0.456761943430336,-0.6913770992846127,-0.7193930098852639,-0.7299428938134233,-0.4630837025918353,8563.675048828125
-0.4509642296164367,-0.4685891631854696,-0.4595918897200839,-0.692955451435584,-0.7002792878426327,-0.6836048747932921,-0.4595411943496936,8706.93994140625
-0.4497046272464671,-0.4631831462608559,-0.45445284605345543,-0.6607521037957583,-0.6914821680757024,-0.7028885333499597,-0.4563183020799747,9059.22998046875
-0.44776119528402303,-0.4633688471434351,-0.4533833689832324,-0.6195680565109062,-0.6430458727289275,-0.6504661954271921,-0.4553816484016363,9815.18994140625
-0.4514800031443674,-0.4666693874669988,-0.45467854777886624,-0.6144334286073425,-0.616915612713276,-0.6122658891921583,-0.4589044102106193,10074.4599609375
-0.45070568026855623,-0.4622760514311247,-0.4555987147214336,-0.5675489184683651,-0.5971566032866408,-0.6080291580247296,-0.4564166862733789,10644.4501953125
-0.45147469994410033,-0.46240157394976233,-0.4543486778603867,-0.5554569407866539,-0.5864059947879982,-0.5539841122462597,-0.45688151738992694,10837.89990234375
-0.44864391132466364,-0.4615557644391344,-0.45448791582634634,-0.5598268464324325,-0.5750100691809338,-0.5876656726744538,-0.45498881290570803,10893.5
-0.44974473633384715,-0.46101711949413055,-0.4527861311217844,-0.5204574352592506,-0.5312648814366975,-0.5475877274916147,-0.4553141950872599,11595.14990234375
-0.4501524505178522,-0.4608602163458335,-0.4535014294477198,-0.5515067648476778,-0.5770859630647641,-0.5393030432439474,-0.4554548692583693,10948.7998046875
-0.44973810796574987,-0.46046703037909653,-0.45378616008078704,-0.5733218162819251,-0.6099593855837835,-0.5813046117804461,-0.455050325358147,10489.0947265625
-0.44937315320478527,-0.46203607876214586,-0.45268890376607585,-0.6050496199903916,-0.6224102902241091,-0.6239865536000513,-0.4556006083609195,10110.9296875
-0.45069573645193717,-0.4645280967822831,-0.4549736949663229,-0.5987304839711092,-0.6338299359165038,-0.6032967403170042,-0.45747741144021753,10072.0849609375
-0.44971788651160793,-0.4613161635718893,-0.45399449911609907,-0.6374835241755191,-0.6423470516686329,-0.6322859897373158,-0.45544158764557297,9665.1396484375
-0.447550045975535,-0.4597024426472011,-0.4526090417496406,-0.6057568434896795,-0.636583903217069,-0.6397793734070532,-0.4535349029373245,9988.365234375
-0.44756662068919756,-0.45758736398471056,-0.4507721809323605,-0.5825560944361049,-0.5912699796039215,-0.5970301260911605,-0.45254250434890375,10562.2998046875
-0.447815226220459,-0.4585948790826957,-0.45087253166488117,-0.5704066179958965,-0.5823212653066848,-0.5797232207405301,-0.453150456109105,10741.44970703125
-0.4481065911747608,-0.4583921936209183,-0.4511194135409388,-0.5725628214395374,-0.5847806041789371,-0.5975553164106515,-0.4532081222000786,10702.5
-0.44831243728298176,-0.45798978021115433,-0.45128608635869316,-0.5647027299227593,-0.5545011126955478,-0.5625992157710787,-0.4531261660364753,11019.5498046875
-0.44798063194934234,-0.457698121467833,-0.4509839930355272,-0.545199139810321,-0.5452297101196826,-0.5552527747516268,-0.4528131908704507,11265.30029296875
-0.447008419030184,-0.45729201539085035,-0.4506680100901172,-0.5460961541335544,-0.537090688960788,-0.5319152854087094,-0.45210842945857516,11324.349609375
-0.4447159419075766,-0.4563251111822314,-0.44979992856867146,-0.5350851418813621,-0.5183531294242405,-0.5298500208650884,-0.45044219767085153,11574.0
-0.4449251059932655,-0.4551507275228144,-0.4474387457706693,-0.546814888614768,-0.5639855204487023,-0.5317560111007137,-0.4499965916954923,11097.19970703125
-0.44400327474111756,-0.4545175660704188,-0.4478255676439463,-0.5796236577527534,-0.6249938177135418,-0.5728370271516,-0.44921091803718066,10310.81005859375
-0.44418061456731156,-0.45670131538645004,-0.44729985484657764,-0.6245934143128727,-0.6466807528726611,-0.6231386080710506,-0.4503380499347734,9741.63525390625
-0.44579986344008615,-0.45636904575376247,-0.4485950309930369,-0.6637529887082191,-0.6967716282066856,-0.6548109150364385,-0.4510344226789402,8989.68994140625
-0.4451336024371469,-0.45560777888735204,-0.4488624015851799,-0.6600172539398488,-0.6775690598795278,-0.6585933341039257,-0.45032284580785814,9179.89501953125
-0.4452463023974245,-0.4558521821936573,-0.4477338956073005,-0.6496347413007991,-0.6910438518121932,-0.687967861390829,-0.45049794391416137,9159.5048828125
-0.4460252684185339,-0.4560736943432224,-0.44893219673826834,-0.636662426181864,-0.6697794195263629,-0.6437033760399331,-0.4510134536761234,9446.96484375
-0.44606504368501015,-0.4557787147344161,-0.44892663877003103,-0.6635212529891591,-0.6696722332761109,-0.6690701145710094,-0.4508947990911357,9214.28515625
-0.44619100543937484,-0.4602639759322653,-0.4487582307429366,-0.6701066015221473,-0.7238272093455599,-0.6666147893215912,-0.4530842266976143,8712.2197265625
-0.4484781743038227,-0.45991324859684385,-0.4511194135409388,-0.7234367000281957,-0.7412096326788395,-0.7211313193214871,-0.4541239815284086,8105.69970703125
-0.4480340003018632,-0.45876876681019085,-0.4517315847994095,-0.7144208497749474,-0.7276794047071504,-0.7192342032694476,-0.45334809775995477,8295.230224609375
-0.44815697537071747,-0.4584737843847047,-0.45150136888054,-0.728141210265658,-0.7393973646556538,-0.7192932108278368,-0.45327330369471946,8079.675048828125
-0.44827929038460285,-0.45945176377829994,-0.45132775257625085,-0.7339497640476221,-0.7646503679315149,-0.7447484895087813,-0.45380069651378385,7821.75
-0.4496383334497092,-0.4634500689221676,-0.4523451442253522,-0.7092045781264084,-0.7168989528931298,-0.7179826552609961,-0.4564096961613641,8429.135009765625
-0.45215256375239266,-0.4631251818072376,-0.4551125885395891,-0.6876339525669048,-0.7042678885570812,-0.7017231340717736,-0.45758138585671493,8720.45458984375
-0.45295638931504967,-0.4700659146048102,-0.4561917880804655,-0.680368950740119,-0.6764818001286366,-0.6829699096703524,-0.4612904302178703,9011.85009765625
-0.4525881216345095,-0.467665455578274,-0.45878040781321855,-0.6847768145506868,-0.6936140033136575,-0.6828542571608924,-0.45996006777956205,8832.80517578125
-0.45275418994730804,-0.46434350285486553,-0.45672722069931304,-0.6974892060826268,-0.7060496890521172,-0.6948440283047984,-0.45847522693215076,8620.1201171875
-0.45202925486263457,-0.4633341428316109,-0.4558070537567457,-0.6907871754987042,-0.6874777539710338,-0.6850664643547989,-0.4576152871667114,8830.93994140625
-0.45252215660076295,-0.4656245851618122,-0.45588483352197284,-0.7088515559636435,-0.7006634462170797,-0.702127946667168,-0.45895928052343254,8565.5546875
-0.4543784132573384,-0.4665586299838763,-0.45756092653160385,-0.717587324373744,-0.7327856435273868,-0.7088748616734549,-0.46037998912628036,8225.755126953125
-0.4547098872990203,-0.4665586299838763,-0.45893214723395026,-0.7346816940447017,-0.7403433739736007,-0.7264868314909918,-0.46055473792696694,8015.030029296875
-0.45540598228076296,-0.4662091560709662,-0.4590015926959961,-0.741000240477105,-0.7396195546780145,-0.7479166018612218,-0.4607562926006593,7966.030029296875
-0.45520378291302127,-0.4661894421290412,-0.45896686996497316,-0.7483922842385584,-0.7839242154123344,-0.7395233817383339,-0.4606403644659997,7537.85498046875
-0.4522533321443059,-0.46543888427923297,-0.45825504470689243,-0.7896574137570725,-0.808119207764328,-0.7871790441472606,-0.4587296614099327,6980.295166015625
-0.45254701867125685,-0.4636955791836346,-0.4564841562838035,-0.793613906698325,-0.7971865669316469,-0.803640395388493,-0.4580593252664785,7035.68505859375
-0.4511962604340355,-0.4630513453629425,-0.45606713117131137,-0.802060468706434,-0.8176803342395845,-0.7971153349718528,-0.457042285966584,6793.91015625
-0.45096754506495845,-0.46298304651113553,-0.45501189076520043,-0.7977756601002084,-0.800044064379086,-0.8064503422339336,-0.45688938209921076,6976.025146484375
-0.45263618425781704,-0.46304617675550824,-0.45563343745245655,-0.775036641799682,-0.7844653781611103,-0.7912618024670177,-0.45779894859353165,7301.715087890625
-0.45301936766328577,-0.4635187367590285,-0.4560848409032781,-0.778547519362582,-0.8008171964836485,-0.770364252613665,-0.458224636149379,7136.8798828125
-0.45317383569967745,-0.4654584489371285,-0.45618900909634685,-0.8093703072115985,-0.8105012928749593,-0.8062267012826558,-0.4592241995026229,6789.309814453125
-0.4537917027873516,-0.4654473737521522,-0.45820643235362546,-0.8137591638642061,-0.8147503983861931,-0.8081556549089238,-0.4595446887390872,6716.2451171875
-0.4541168797528937,-0.4647894818511067,-0.4577762090534507,-0.8026590397665696,-0.8113712076835761,-0.8190986181371094,-0.4594047158456661,6840.52490234375
-0.4546104440749372,-0.4654141481972234,-0.4575432167996371,-0.7991504644000548,-0.7937495325121718,-0.8020176875327908,-0.459960591737987,7015.77001953125
-0.4553605699931158,-0.4686508174896267,-0.45832900436239693,-0.7953239332522999,-0.8094548150251623,-0.7946806969426121,-0.4618880707962439,6920.050048828125
-0.4559396556901864,-0.468404569258052,-0.4607863680921545,-0.81290128687952,-0.8068883196270759,-0.8093664911595609,-0.46207679982096006,6788.280029296875
-0.4565587493167874,-0.4679533118038644,-0.4606686573187097,-0.8073866000434491,-0.7999825942832677,-0.8065323419952498,-0.46218958287184264,6892.954833984375
-0.4567103647018194,-0.4708791604802624,-0.4597967556875413,-0.7538604217867445,-0.8006571007698778,-0.799928825728271,-0.46365441330704155,7352.869873046875
-0.45848868935103654,-0.4704314097924266,-0.463081575846791,-0.7374888014028915,-0.7426779297403184,-0.7441247899890301,-0.46437998773411115,7971.445068359375
-0.4589258379403389,-0.47431925320455093,-0.4622638445371269,-0.7399756227078905,-0.7373775012992014,-0.7456837650717065,-0.46645069142776974,7993.35498046875
-0.46153659306314343,-0.47615751420958996,-0.4662622278129719,-0.7286075454114767,-0.7280434396508095,-0.7383278736229814,-0.46869715717504856,8168.875
-0.462565821075302,-0.4785476360212576,-0.46588027247337066,-0.726725584093324,-0.7325238903050578,-0.7183691432435314,-0.4703710763527926,8148.440185546875
-0.46422319128371126,-0.47806990741030314,-0.4698682391948263,-0.7316239280361886,-0.7352030115218365,-0.734059852314727,-0.4710186956321194,8083.840087890625
-0.4643686765030554,-0.47814374385459824,-0.4697835132938898,-0.7366930275694729,-0.7349418825122794,-0.74156738281609,-0.47113034277313426,8041.90478515625
-0.462565821075302,-0.4759360020600248,-0.46709211353554003,-0.7308919418879777,-0.7195543540245782,-0.7288902081916914,-0.46913490377403416,8218.735107421875
-0.4631293259345826,-0.47596553776441475,-0.46726572983982917,-0.6974541116255363,-0.7131161343224678,-0.7213602617330888,-0.4694459564259399,8562.38525390625
-0.4602455027835289,-0.47460692634595425,-0.46701572193778484,-0.6907072162876691,-0.6883026065624066,-0.6882033153786983,-0.4672825667534016,8824.8603515625
-0.4591582683314438,-0.4713285730091806,-0.4630989385368897,-0.6904732345233553,-0.6805434040129736,-0.6837028365601492,-0.4651576380290612,8890.625
-0.4546104440749372,-0.47018922321312445,-0.46275899910588875,-0.6929508470428137,-0.6799833959833714,-0.6914133496048968,-0.4622207923954272,8873.6796875
-0.45651641981460794,-0.4702275441418127,-0.461019050392544,-0.6484433265959249,-0.6715204381203046,-0.6831552302834184,-0.4632437365601154,9330.22021484375
-0.45636725750742957,-0.46845625533239454,-0.4593835506847719,-0.6477125196214721,-0.6793119213873674,-0.6379146999872141,-0.462326690659271,9272.580078125
-0.4553065390566799,-0.4683639583686858,-0.4611526986001716,-0.6743810502446397,-0.6837406218303876,-0.6871098891868677,-0.46172380649696565,9004.2998046875
-0.45598198519236594,-0.4672447281164459,-0.4593174723235981,-0.6689784691422986,-0.6679154012919489,-0.6621314249999577,-0.4615501242783145,9181.259765625
-0.45594628405828375,-0.4672305517670091,-0.4600745428340738,-0.6668728578679995,-0.67126718608144,-0.6828643414604217,-0.46152459297084114,9172.0400390625
-0.4563341080801044,-0.4709150477976029,-0.45945299614681767,-0.6600074836429948,-0.6553348387415847,-0.6588399672581304,-0.46347304236514236,9362.60009765625
-0.45752738124806874,-0.4703243449765228,-0.462380548624237,-0.6631325748579903,-0.6569724163619057,-0.6541370533295997,-0.46382252130133,9321.974609375
-0.45822351163505876,-0.4697812327773551,-0.46171000810257656,-0.6758547366867843,-0.6737594596085117,-0.6644421702064086,-0.46393243924621985,9073.46484375
-0.45860470728878217,-0.4702505085322277,-0.46246648784712424,-0.6758179576957535,-0.6662054149900933,-0.6731086172219746,-0.4643555243419008,9135.82958984375
-0.45858879515903467,-0.4694842955760873,-0.4617107021863126,-0.6446645239098131,-0.6556732809615982,-0.6654748024782191,-0.4639844617849985,9493.240234375
-0.456990660458425,-0.4689214328181572,-0.4618489016758428,-0.6457644684217265,-0.6314563817137543,-0.6382410279199855,-0.46287552444370283,9682.580078125
-0.45726555185691387,-0.468404569258052,-0.46047438010198843,-0.6351099597024426,-0.6248111908911491,-0.637958955656006,-0.4627757950237065,9829.81005859375
-0.45682137532600814,-0.4680849634177483,-0.4608401913717908,-0.6365106496738389,-0.6388046739128038,-0.6294011309525139,-0.46239035094128383,9702.69482421875
-0.4567752675781448,-0.4672970056935466,-0.45999120774978386,-0.6522819863880502,-0.6530325042436615,-0.6411813791644834,-0.4619930771308606,9448.68994140625
-0.45693241882649804,-0.468404569258052,-0.46031409709328475,-0.6639599617783561,-0.6593490024552614,-0.6568065691010223,-0.46260017162575084,9295.259765625
-0.4557450785664147,-0.4680353814032169,-0.4608766493121538,-0.6690192910147863,-0.6652021564436424,-0.666078996081452,-0.46179947249301495,9203.18994140625
-0.45510765513746,-0.46639064883392317,-0.4594182734157948,-0.6677957017116515,-0.6646603992065123,-0.6600466833521027,-0.46068492493021285,9218.27978515625
-0.4532878633567315,-0.4656467355317648,-0.4584151184308055,-0.6875223802689228,-0.7039896680073425,-0.6761557467923466,-0.45937343566102173,8723.7099609375
-0.4521760981261101,-0.46438780641145044,-0.4561716490554227,-0.7098376259811897,-0.7143969594814679,-0.7122400212386999,-0.45819143478384333,8444.18017578125
-0.45328454790820977,-0.46470862905742805,-0.456774791926976,-0.7035881173647749,-0.7039494805946025,-0.7078705230648955,-0.45892765103317157,8584.3349609375
-0.45328454790820977,-0.46537316832280323,-0.45724598471179784,-0.6974029579448812,-0.7056022771167896,-0.6962100763313352,-0.4592421994076985,8624.544921875
-0.4540204206853749,-0.465081140594428,-0.45736925345347995,-0.6999863591957933,-0.7002159748329165,-0.6966767777135559,-0.45949191559320113,8646.3203125
-0.4539640707052361,-0.46451960449268404,-0.45721334688115756,-0.7188321949556584,-0.7173195831281033,-0.708524331421813,-0.45919641504059966,8341.9599609375
-0.4533607880505329,-0.4639743150000304,-0.4571543153243266,-0.722448271663133,-0.724708062739893,-0.7164526077118268,-0.45862026875669526,8249.830078125
-0.45348939761161183,-0.46376867765782187,-0.45659874368043624,-0.7323047043526131,-0.7295355162464542,-0.732869674471983,-0.45859073510013393,8124.469970703125
-0.4536988904603121,-0.4633282362540689,-0.4565883271260468,-0.726673307390042,-0.7168411091762718,-0.7231983126021703,-0.4584927015455739,8277.704833984375
-0.4536988904603121,-0.46535507678844346,-0.4565883271260468,-0.7157283850194426,-0.7155085338060435,-0.7237140524923881,-0.45945207208803973,8383.8251953125
-0.45403036450199397,-0.4651058766764376,-0.4578661432315819,-0.7160095898852175,-0.7057757488185283,-0.7074669205854446,-0.45950886624819937,8461.31982421875
-0.45464359097331614,-0.46493051019204706,-0.45795989487026123,-0.7237299212360783,-0.7277238427116226,-0.7135128327130164,-0.4597491445159159,8213.9150390625
-0.454215989156073,-0.46480314274814,-0.4578904494082154,-0.7449233796463386,-0.7579607688288552,-0.7361003382937902,-0.4594634311867172,7781.27001953125
-0.45328454790820977,-0.4645280967822831,-0.45719598419105884,-0.7630964406259959,-0.7687199082353798,-0.7641855734797176,-0.4588421991469471,7534.8701171875
-0.4528370584577285,-0.4641035301858867,-0.45650499204175693,-0.7676652897301293,-0.7649754638879777,-0.7623457362490051,-0.45840532714523063,7525.89501953125
-0.45096588607622445,-0.46286638245047107,-0.4556143395530177,-0.7713440591757502,-0.7676253660021503,-0.7685899057053249,-0.4568332865502843,7472.14013671875
-0.4515459656491677,-0.46249756358068983,-0.4545702124342068,-0.7836154397221081,-0.7723834129933654,-0.775930440206481,-0.45696452280360755,7326.35009765625
-0.45185920851739925,-0.46267588194551146,-0.45546155635750746,-0.7814701857490796,-0.7827365168540107,-0.7753858015950403,-0.4572140643363019,7259.969970703125
-0.45137857216853905,-0.462783684731523,-0.45580913600795375,-0.7752965373111115,-0.7833580544282667,-0.7896567853539185,-0.4570117057264004,7308.550048828125
-0.45106764834401036,-0.4613900000161844,-0.4545049314745771,-0.7725739654811613,-0.7697876687682552,-0.7695782823083436,-0.45618811374350127,7443.68505859375
-0.44829188706582856,-0.4614745426604019,-0.45428617588487563,-0.7705540408332944,-0.7668942642242258,-0.7733299874806926,-0.45476478534852893,7485.014892578125
-0.44830879054250244,-0.45935651211748024,-0.4523347276709628,-0.7707938061641367,-0.7640812047812587,-0.7677508055476259,-0.4537711628572225,7506.034912109375
-0.447677995481645,-0.45855389920827555,-0.45156734392390574,-0.765555663649939,-0.7586072749139853,-0.7656253521419565,-0.45305871272209897,7596.544921875
-0.4481467002621409,-0.45821498502793817,-0.45084162639440634,-0.7621597836040331,-0.7515590804361069,-0.7599978231957173,-0.45314538851120906,7683.965087890625
-0.44864391132466364,-0.459010953389493,-0.45129302984522796,-0.762221325243987,-0.7600207898736299,-0.7546611830724748,-0.45378426981721054,7613.929931640625
-0.44884611069240526,-0.45916749036941595,-0.45250487090739727,-0.7685801039619988,-0.7647106490506249,-0.7677390213233186,-0.4539649608130621,7520.114990234375
-0.4483167466073762,-0.4587429237730196,-0.4521253475100467,-0.766441138915681,-0.7583181157785303,-0.7603589275557229,-0.45348492556959885,7591.219970703125
-0.4483936493336145,-0.4584623402146746,-0.45125448700448234,-0.7629429234328992,-0.7492592130648533,-0.7588926127795795,-0.4533926582241679,7696.044921875
-0.44690698805435564,-0.458410654140332,-0.451963188885751,-0.7654199744410443,-0.7548853319507874,-0.7568674549358011,-0.4525844450209924,7628.294921875
-0.44688046952407395,-0.4574692239838305,-0.4497374265931604,-0.7662600234415283,-0.7564936607440846,-0.7599724395731876,-0.45212485482192094,7607.780029296875
-0.448080406465383,-0.4576205923563192,-0.4510777446742065,-0.776841535690064,-0.8065888163942588,-0.7678186872896009,-0.45282909360859913,7104.309814453125
-0.444086143251538,-0.4580710019898869,-0.45117149896206044,-0.8107295576480624,-0.8067373493095413,-0.8091393062973058,-0.4509365637771885,6808.405029296875
-0.4423823668796089,-0.4537404272133316,-0.4474422214876985,-0.8108572172451748,-0.8167544186280076,-0.8028532437795124,-0.4479885510296434,6725.02001953125
-0.44075151520148126,-0.45296882594873245,-0.4467303935804432,-0.8267441129876938,-0.8323659800519674,-0.8210830354107891,-0.4467635628967541,6458.64501953125
-0.44052279730345795,-0.4529392902443425,-0.4455185498690993,-0.8224041078193562,-0.8293934193835839,-0.836078619309281,-0.44662900557361795,6520.800048828125
-0.4432276266974762,-0.45363705506464647,-0.4465671938305435,-0.8239025288348583,-0.8233417657337546,-0.8165276403782312,-0.44838523155380944,6557.47509765625
-0.4411857453868217,-0.4571037287962141,-0.4462477404664533,-0.8289963348659342,-0.8252642221733808,-0.8294284559539076,-0.4489496694334198,6497.39013671875
-0.445514795561924,-0.4577608827271518,-0.4496402018866264,-0.8291907020070842,-0.8193605069504798,-0.8241130792965299,-0.4515429409956599,6544.18994140625
-0.44687384115597667,-0.4587503062907772,-0.4497339561744803,-0.8181491996905718,-0.8225619456352082,-0.8262054850120272,-0.45272773898422625,6613.91015625
-0.4473379027911743,-0.459005046811951,-0.45237292346984037,-0.8157710589002907,-0.8065370661830308,-0.8124968306071928,-0.4530929633377121,6766.2099609375
-0.44774230152665756,-0.4582555959173044,-0.450553425342659,-0.8158251043642101,-0.8125053131167739,-0.8108228080730281,-0.45295141723578874,6716.719970703125
-0.4463037053996525,-0.45852879414121206,-0.45134164219849493,-0.8164357479175849,-0.8062174692438437,-0.8102722629432916,-0.45232232181996246,6763.054931640625
-0.4460783004212047,-0.45625828827064,-0.44946311516365717,-0.8201076107740505,-0.8493520877239579,-0.8127629696779158,-0.4511287858580707,6376.840087890625
-0.4433966766378926,-0.4572292541315315,-0.44994229520979234,-0.8501369269860334,-0.8453823917391712,-0.8509868731738484,-0.4501746588995367,6148.31494140625
-0.4439767562108359,-0.45407638951323787,-0.4465880269393223,-0.8501967279409156,-0.860321259866001,-0.8466097109324016,-0.44898811438288727,6025.094970703125
