,Price,Open,High,Low
2015-02-03,235.22000122070312,237.45399475097656,245.95700073242188,224.4830017089844
2015-02-04,225.5855026245117,227.5110015869141,230.05799865722656,221.11300659179688
2015-02-05,227.06500244140625,227.6649932861328,239.40499877929688,214.7250061035156
2015-02-06,223.3709945678711,216.92300415039065,230.50999450683597,216.23199462890625
2015-02-07,226.45299530029297,222.63299560546875,230.2989959716797,222.60699462890625
2015-02-08,225.25749969482425,227.6929931640625,229.43800354003903,221.07699584960935
2015-02-09,220.4980010986328,223.38900756835935,223.9770050048828,217.0189971923828
2015-02-10,218.5695037841797,220.2819976806641,221.8070068359375,215.33200073242188
2015-02-11,220.7400054931641,219.73199462890625,223.406005859375,218.07400512695312
2015-02-12,219.90650177001956,219.2079925537109,222.19900512695312,217.61399841308597
2015-02-13,230.760498046875,221.968994140625,240.25900268554688,221.26199340820312
2015-02-14,247.66800689697263,235.5279998779297,259.8080139160156,235.5279998779297
2015-02-15,246.64749908447263,257.5069885253906,265.6109924316406,227.6840057373047
2015-02-16,234.27149963378903,234.8249969482422,239.52099609375,229.02200317382807
2015-02-17,239.04449462890625,233.4219970703125,245.7749938964844,232.31399536132807
2015-02-18,238.2955017089844,243.77999877929688,244.25100708007807,232.33999633789065
2015-02-19,239.1319961547852,236.41000366210935,242.6719970703125,235.5919952392578
2015-02-20,243.1999969482422,240.25100708007807,247.1009979248047,239.2989959716797
2015-02-21,249.2520065307617,243.7519989013672,255.32000732421875,243.1840057373047
2015-02-22,240.12149810791016,244.54400634765625,246.3919982910156,233.8509979248047
2015-02-23,236.26499938964844,235.9949951171875,240.10899353027344,232.42100524902344
2015-02-24,238.15149688720703,238.9980010986328,239.9010009765625,236.4019927978516
2015-02-25,237.43499755859372,238.88999938964844,239.33999633789065,235.52999877929688
2015-02-26,235.98350524902344,237.3370056152344,237.7100067138672,234.2570037841797
2015-02-27,246.5445098876953,236.43600463867188,256.65301513671875,236.43600463867188
2015-02-28,252.0855026245117,253.5200042724609,254.69200134277344,249.47900390625
2015-03-01,253.796501159668,254.2830047607422,261.6600036621094,245.93299865722656
2015-03-02,267.30699157714844,260.35699462890625,276.3009948730469,258.31298828125
2015-03-03,276.97850036621094,275.0459899902344,285.7959899902344,268.1610107421875
2015-03-04,276.1755065917969,281.989990234375,284.2250061035156,268.1260070800781
2015-03-05,273.21800231933594,272.739013671875,281.6669921875,264.7690124511719
2015-03-06,273.81150817871094,275.6000061035156,277.6080017089844,270.0150146484375
2015-03-07,273.9934997558594,272.29400634765625,277.85400390625,270.13299560546875
2015-03-08,275.2115020751953,276.4330139160156,277.8580017089844,272.56500244140625
2015-03-09,283.2969970703125,274.81201171875,292.70098876953125,273.8930053710937
2015-03-10,294.8935089111328,289.86199951171875,300.04400634765625,289.7430114746094
2015-03-11,293.9494934082031,291.5249938964844,297.3909912109375,290.50799560546875
2015-03-12,294.75050354003906,296.12701416015625,297.0880126953125,292.4129943847656
2015-03-13,289.91749572753906,294.1180114746094,294.4979858398437,285.3370056152344
2015-03-14,283.6590118408203,284.4419860839844,286.3420104980469,280.9760131835937
2015-03-15,283.7624969482422,281.42498779296875,286.52899169921875,280.9960021972656
2015-03-16,289.89849853515625,285.6849975585937,294.11199951171875,285.6849975585937
2015-03-17,288.36949157714844,290.5950012207031,292.364990234375,284.3739929199219
2015-03-18,267.6029968261719,285.0669860839844,285.33599853515625,249.8699951171875
2015-03-19,256.4399948120117,255.8800048828125,264.2439880371094,248.6360015869141
2015-03-20,262.00498962402344,260.9559936523437,264.8479919433594,259.1619873046875
2015-03-21,258.9230041503906,261.6440124511719,262.1960144042969,255.6499938964844
2015-03-22,264.6685028076172,259.9169921875,269.7470092773437,259.5899963378906
2015-03-23,269.52099609375,267.8949890136719,277.2969970703125,261.7449951171875
2015-03-24,255.57899475097656,266.5769958496094,267.00299072265625,244.15499877929688
2015-03-25,242.85250091552732,247.4720001220703,249.19000244140625,236.51499938964844
2015-03-26,249.62950134277344,246.2760009765625,254.35400390625,244.90499877929688
2015-03-27,251.01200103759768,248.5659942626953,256.8110046386719,245.21299743652344
2015-03-28,250.5900039672852,246.9750061035156,254.2050018310547,246.9750061035156
2015-03-29,246.9945068359375,252.7400054931641,253.13900756835935,240.8500061035156
2015-03-30,244.2280044555664,242.8789978027344,249.24200439453125,239.2140045166016
2015-03-31,245.7344970703125,247.45399475097656,248.72999572753903,242.73899841308597
2015-04-01,244.35050201416016,244.22300720214844,247.5410003662109,241.16000366210935
2015-04-02,249.9384994506836,247.0890045166016,254.46099853515625,245.4160003662109
2015-04-03,253.96099853515625,253.07400512695312,256.0429992675781,251.8789978027344
2015-04-04,253.1790008544922,254.2910003662109,255.25799560546875,251.1000061035156
2015-04-05,256.3084945678711,253.7610015869141,260.67498779296875,251.94200134277344
2015-04-06,258.1865005493164,260.72100830078125,261.7980041503906,254.5749969482422
2015-04-07,254.004997253418,255.2740020751953,255.80499267578125,252.2050018310547
2015-04-08,249.03099822998047,253.06399536132807,253.8470001220703,244.21499633789065
2015-04-09,242.75899505615237,244.75100708007807,246.1179962158203,239.3999938964844
2015-04-10,238.2324981689453,243.69400024414065,243.69400024414065,232.77099609375
2015-04-11,236.8560028076172,236.01600646972656,239.53700256347656,234.1750030517578
2015-04-12,235.6114959716797,236.53500366210935,237.72799682617188,233.4949951171875
2015-04-13,229.4654998779297,235.9499969482422,236.93499755859372,221.9960021972656
2015-04-14,220.64949798583984,224.75900268554688,224.9759979248047,216.322998046875
2015-04-15,221.24099731445312,219.072998046875,223.8329925537109,218.6490020751953
2015-04-16,226.7945022583008,223.91700744628903,229.6719970703125,223.91700744628903
2015-04-17,225.42400360107425,228.5749969482422,228.906005859375,221.94200134277344
2015-04-18,222.59600067138672,222.85299682617188,224.3159942626953,220.87600708007807
2015-04-19,224.36299896240237,223.45599365234372,226.35299682617188,222.3730010986328
2015-04-20,224.16400146484372,222.61199951171875,226.3509979248047,221.9770050048828
2015-04-21,229.78499603271484,224.6199951171875,235.2689971923828,224.30099487304688
2015-04-22,235.692497253418,235.6020050048828,237.90899658203125,233.4759979248047
2015-04-23,234.8370056152344,234.0529937744141,236.4750061035156,233.19900512695312
2015-04-24,233.1189956665039,235.97000122070312,236.30499267578125,229.93299865722656
2015-04-25,229.44900512695312,231.2350006103516,232.56100463867188,226.3370056152344
2015-04-26,220.90899658203125,226.41000366210935,226.94400024414065,214.87399291992188
2015-04-27,225.6639938354492,219.4290008544922,233.30499267578125,218.0229949951172
2015-04-28,226.2819976806641,228.968994140625,229.4949951171875,223.06900024414065
2015-04-29,225.23499298095703,225.59100341796875,227.0399932861328,223.42999267578125
2015-04-30,232.2779998779297,225.6929931640625,239.56300354003903,224.9929962158203
2015-05-01,235.52249908447263,235.93899536132807,238.96600341796875,232.07899475097656
2015-05-02,234.03400421142575,232.34100341796875,235.7270050048828,232.34100341796875
2015-05-03,238.6614990234375,234.8800048828125,243.2400054931641,234.0829925537109
2015-05-04,240.2239990234375,240.3560028076172,242.63800048828125,237.80999755859372
2015-05-05,235.6289978027344,238.8520050048828,239.20399475097656,232.0540008544922
2015-05-06,232.84249877929688,236.24899291992188,236.45399475097656,229.2310028076172
2015-05-07,233.83899688720703,229.66200256347656,239.10499572753903,228.572998046875
2015-05-08,241.27449798583984,237.20399475097656,246.2749938964844,236.2740020751953
2015-05-09,243.72150421142575,243.7689971923828,247.8040008544922,239.63900756835935
2015-05-10,241.45849609375,241.72900390625,244.0679931640625,238.8489990234375
2015-05-11,241.82300567626956,240.2989959716797,244.2700042724609,239.37600708007807
2015-05-12,241.48999786376956,242.1450042724609,242.8809967041016,240.0989990234375
2015-05-13,239.3744964599609,241.3979949951172,243.70399475097656,235.0449981689453
2015-05-14,235.9280014038086,236.2140045166016,237.7989959716797,234.0570068359375
2015-05-15,237.7740020751953,236.9550018310547,238.7530059814453,236.7949981689453
2015-05-16,236.4960021972656,237.6439971923828,237.69700622558597,235.2949981689453
2015-05-17,237.01749420166016,236.00999450683597,238.0249938964844,236.00999450683597
2015-05-18,234.8350067138672,236.88699340820312,237.2100067138672,232.4600067138672
2015-05-19,232.984001159668,233.03700256347656,234.1510009765625,231.81700134277344
2015-05-20,233.2624969482422,231.88999938964844,234.68299865722656,231.8419952392578
2015-05-21,235.0385055541992,234.01600646972656,236.24200439453125,233.8350067138672
2015-05-22,238.01449584960935,235.3209991455078,240.968994140625,235.05999755859372
2015-05-23,239.85799407958984,240.28599548339844,241.0249938964844,238.6909942626953
2015-05-24,240.39450073242188,238.9759979248047,241.97799682617188,238.81100463867188
2015-05-25,238.82899475097656,240.927001953125,241.02099609375,236.63699340820312
2015-05-26,236.96700286865237,237.10400390625,238.24200439453125,235.69200134277344
2015-05-27,237.6655044555664,237.06500244140625,238.6360015869141,236.69500732421875
2015-05-28,237.23799896240237,237.2570037841797,237.82400512695312,236.6519927978516
2015-05-29,236.62650299072263,237.3769989013672,237.52200317382807,235.7310028076172
2015-05-30,234.5695037841797,237.0919952392578,237.09300231933597,232.04600524902344
2015-05-31,231.39700317382807,233.13499450683597,233.2519989013672,229.54200744628903
2015-06-01,226.50450134277344,230.2330017089844,231.71299743652344,221.29600524902344
2015-06-02,224.4175033569336,222.8939971923828,226.4160003662109,222.41900634765625
2015-06-03,225.66699981689453,225.73599243164065,227.4040069580078,223.92999267578125
2015-06-04,225.317497253418,225.77200317382807,226.58099365234372,224.0540008544922
2015-06-05,224.5735015869141,224.1540069580078,225.96800231933597,223.1790008544922
2015-06-06,225.0489959716797,225.0050048828125,225.718994140625,224.3789978027344
2015-06-07,224.4229965209961,225.5959930419922,226.19400024414065,222.6519927978516
2015-06-08,226.1515045166016,222.8789978027344,229.4640045166016,222.8390045166016
2015-06-09,229.4414978027344,228.5379943847656,230.95399475097656,227.9290008544922
2015-06-10,228.89599609375,228.9949951171875,229.7819976806641,228.00999450683597
2015-06-11,229.5270004272461,228.85499572753903,230.28700256347656,228.7669982910156
2015-06-12,230.18500518798828,229.7050018310547,231.0570068359375,229.31300354003903
2015-06-13,230.93099975585935,229.9199981689453,232.6519927978516,229.2100067138672
